Date,T-48,T-47,T-46,T-45,T-44,T-43,T-42,T-41,T-40,T-39,T-38,T-37,T-36,T-35,T-34,T-33,T-32,T-31,T-30,T-29,T-28,T-27,T-26,T-25,T-24,T-23,T-22,T-21,T-20,T-19,T-18,T-17,T-16,T-15,T-14,T-13,T-12,T-11,T-10,T-9,T-8,T-7,T-6,T-5,T-4,T-3,T-2,T-1,window_statistic_12_std,difference_13_12-1,difference_statistic_3_1_abs_energy,tzero,Target_Tplus2
1943-01-01,3.3842,3.41,3.4875,3.5133,3.5133,3.565,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,0.1461802661385363,0.4134000000000002,0.008668809999999914,5.2184,5.3217
1943-02-01,3.41,3.4875,3.5133,3.5133,3.565,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,0.14362449376179987,0.4391999999999996,0.008668809999999914,5.2959,5.3992
1943-03-01,3.4875,3.5133,3.5133,3.565,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,0.14822073137160427,0.4391999999999996,0.006671889999999965,5.3217,5.425
1943-04-01,3.5133,3.5133,3.565,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,5.3217,0.15006736889921565,0.5167000000000002,0.006671890000000102,5.3992,5.5284
1943-05-01,3.5133,3.565,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,5.3217,5.3992,0.1519055920263927,0.5424999999999995,0.006671890000000056,5.425,5.58
1943-06-01,3.565,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,5.3217,5.3992,5.425,0.1443402430505397,0.6200000000000001,0.011357200000000092,5.5284,5.6059
1943-07-01,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,5.3217,5.3992,5.425,5.5284,0.14123746822481484,0.5166000000000004,0.013354120000000087,5.58,5.7092
1943-08-01,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,5.3217,5.3992,5.425,5.5284,5.58,0.1550041690747561,0.5167000000000002,0.0033333699999999653,5.6059,5.7092
1943-09-01,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,5.3217,5.3992,5.425,5.5284,5.58,5.6059,0.16316796986200724,0.5941999999999998,0.01134169999999999,5.7092,5.7867
1943-10-01,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,5.3217,5.3992,5.425,5.5284,5.58,5.6059,5.7092,0.17725539640743124,0.5941999999999998,0.010670889999999988,5.7092,5.7867
